
 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 18:52:16 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 18:52:28 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 18:55:00 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/old, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 18:55:16 GMT+0530 (India Standard Time) 

 Method : POST, Route : /user/signup, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:54:56 GMT+0530 (India Standard Time) 

 Method : POST, Route : /user/login, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:55:10 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/old, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:55:42 GMT+0530 (India Standard Time) 

 Method : POST, Route : /books, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:56:34 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:56:43 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:56:52 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:57:01 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:58:31 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 19:59:32 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:00:04 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:00:13 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:03:07 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:03:25 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:04:45 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:05:07 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:05:23 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:07:02 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:07:08 GMT+0530 (India Standard Time) 

 Method : GET, Route : /books/new, IpAddress : ::ffff:127.0.0.1, Date : Thu Jul 06 2023, Time : 20:07:17 GMT+0530 (India Standard Time) 
